Subject;Area;Word_ID;Accuracy;Type;Word_ID_num;resp_resp
1;cedx;alto;0;Critical_lure;3;1
1;cedx;freddo;0;Critical_lure;35;1
1;cedx;fumo;0;Critical_lure;36;1
1;cedx;giustizia;0;Critical_lure;42;1
1;cedx;lampada;0;Critical_lure;51;1
1;cedx;lento;0;Critical_lure;52;1
1;cedx;penna;0;Critical_lure;64;1
1;cedx;sedia;0;Critical_lure;87;1
1;cedx;basso;1;Studied_word;10;1
1;cedx;calmo;1;Studied_word;14;1
1;cedx;calore;1;Studied_word;15;1
1;cedx;desiderio;1;Studied_word;22;1
1;cedx;equita';0;Studied_word;29;0
1;cedx;ghiaccio;1;Studied_word;39;1
1;cedx;gigante;1;Studied_word;40;1
1;cedx;grattacielo;1;Studied_word;44;1
1;cedx;inchiostro;1;Studied_word;45;1
1;cedx;inquinamento;1;Studied_word;46;1
1;cedx;luce;1;Studied_word;53;1
1;cedx;pioggia;1;Studied_word;68;1
1;cedx;pipa;1;Studied_word;69;1
1;cedx;piuma;1;Studied_word;70;1
1;cedx;polizia;1;Studied_word;72;1
1;cedx;polmoni;1;Studied_word;73;1
1;cedx;poltrona;1;Studied_word;74;1
1;cedx;privata;0;Studied_word;76;0
1;cedx;scomoda;1;Studied_word;85;1
1;cedx;scuola;1;Studied_word;86;1
1;cedx;tavolo;1;Studied_word;89;1
1;cedx;tiepido;0;Studied_word;91;0
1;cedx;valzer;0;Studied_word;94;0
1;cedx;veloce;1;Studied_word;96;1
1;cedx;bello;0;Unrelated;11;1
1;cedx;caramella;1;Unrelated;17;0
1;cedx;crosata;1;Unrelated;21;0
1;cedx;dolce;0;Unrelated;24;1
1;cedx;dolere;1;Unrelated;26;0
1;cedx;donna;1;Unrelated;28;0
1;cedx;forza;1;Unrelated;34;0
1;cedx;furioso;1;Unrelated;38;0
1;cedx;ira;1;Unrelated;47;0
1;cedx;malcontento;1;Unrelated;54;0
1;cedx;piede;1;Unrelated;67;0
1;cedx;rabbia;1;Unrelated;77;0
1;cedx;ritmo;0;Unrelated;81;1
1;cedx;sapore;1;Unrelated;83;0
1;cedx;scarpa;1;Unrelated;84;0
1;cedx;uomo;1;Unrelated;93;0
1;cz;ago;0;Critical_lure;1;1
1;cz;amaro;0;Critical_lure;4;1
1;cz;bandiera;0;Critical_lure;8;1
1;cz;fiume;0;Critical_lure;31;1
1;cz;ladro;0;Critical_lure;50;1
1;cz;musica;0;Critical_lure;60;1
1;cz;ragno;0;Critical_lure;79;1
1;cz;soffice;0;Critical_lure;88;1
1;cz;alcolico;0;Studied_word;2;0
1;cz;arpa;0;Studied_word;5;0
1;cz;assassino;1;Studied_word;6;1
1;cz;asta;1;Studied_word;7;1
1;cz;bandito;1;Studied_word;9;1
1;cz;cammello;1;Studied_word;16;1
1;cz;concerto;1;Studied_word;19;1
1;cz;corrente;1;Studied_word;20;1
1;cz;digerire;1;Studied_word;23;1
1;cz;dolce;1;Studied_word;24;1
1;cz;dolore;1;Studied_word;27;1
1;cz;filo;0;Studied_word;30;0
1;cz;foce;1;Studied_word;32;1
1;cz;furfante;1;Studied_word;37;1
1;cz;italia;1;Studied_word;48;1
1;cz;italiana;1;Studied_word;49;1
1;cz;materasso;1;Studied_word;56;1
1;cz;morbido;1;Studied_word;58;1
1;cz;mosca;1;Studied_word;59;1
1;cz;nota;1;Studied_word;61;1
1;cz;pesce;0;Studied_word;65;0
1;cz;piume;1;Studied_word;71;1
